iter	RMSE
187	210.185853
188	209.7637458
189	209.5870514
190	209.2075241
191	209.0232791
192	208.8087114
193	208.5924871
194	208.4056657
195	207.8673345
196	207.6516058
197	207.276654
198	207.0060079
199	206.8299576
200	206.5640096
201	206.3300829
202	206.0801483
203	205.9215179
204	205.7288018
205	205.3930332
206	205.2378698
207	205.0603907
208	204.8716563
209	204.7109957
210	204.5638455
211	204.4666223
212	204.3934531
213	204.0925572
214	203.9673162
215	203.7525928
216	203.6264604
217	203.4037933
218	203.2773605
219	202.9698795
220	202.7917964
221	202.3226853
222	202.0917296
223	201.8924167
224	201.6960929
225	201.5811276
226	201.4089347
227	201.0187541
228	200.7985505
229	200.6511358
230	200.5192014
231	200.4541201
232	199.9946294
233	199.7786507
234	199.3835475
235	199.2089246
236	199.0919685
237	198.8129779
238	198.5606179
239	198.4814545
240	198.3302255
241	198.1366478
242	198.0088818
243	197.596227
244	197.3857573
245	197.2820475
246	197.1057957
247	196.8527241
248	196.7609303
249	196.6269201
250	196.5641958
251	196.466048
252	196.2938589
253	196.1244172
254	195.8513829
255	195.6472829
256	195.4951867
257	195.4247918
258	195.3696139
259	195.2588363
260	195.0377923
261	194.8736481
262	194.6952181
263	194.6043548
264	194.5742863
265	194.5084721
266	194.3178353
267	194.2968534
268	194.0885222
269	193.7526312
270	193.7325939
271	193.6380678
272	193.4176268
273	193.0115093
274	192.9003261
275	192.8096442
276	192.7761178
277	192.6466897
278	192.5640498
279	192.4310104
280	192.405877
281	192.1681293
282	192.1454686
283	191.991835
284	191.8902132
285	191.758917
286	191.5473497
287	191.3734455
288	191.068859
289	190.9352338
290	190.5755958
291	190.3796158
292	190.3093356
293	190.1694171
294	189.8683813
295	189.8226725
296	189.7023386
297	189.6856114
298	189.4611112
299	189.3267151
300	189.2071988
301	189.1038766
302	189.0024461
303	188.729917
304	188.5874242
305	188.5068663
306	188.3901105
307	188.3274205
308	188.2466803
309	188.1456892
310	188.0116337
311	187.7979299
312	187.6217581
313	187.4799264
314	187.3688677
315	187.3209958
316	187.3051408
317	187.1945431
318	186.9423684
319	186.8419799
320	186.7823739
321	186.7418644
322	186.6105636
323	186.4268999
324	186.2805899
325	186.2047836
326	186.0679274
327	185.9535639
328	185.884408
329	185.8159425
330	185.6815482
331	185.6219896
332	185.3011496
333	185.2532981
334	185.1700205
335	185.1114449
336	185.0056137
337	184.9065015
338	184.802576
339	184.6433554
340	184.5970267
341	184.4905613
342	184.4094616
343	184.3649141
344	184.2711483
345	184.1351347
346	184.0240164
347	183.9663777
348	183.8363703
349	183.6337411
350	183.5112376
351	183.4284783
352	183.2778636
353	183.2023834
354	183.1087767
355	182.9811907
356	182.7748358
357	182.6345389
358	182.4909872
359	182.2938733
360	182.1358667
361	181.9470809
362	181.902069
363	181.7940004
364	181.7211524
365	181.6603221
366	181.5530547
367	181.4424
368	181.2310876
369	181.1048616
370	180.991442
371	180.9517798
372	180.8571049
373	180.7308518
374	180.6482835
375	180.4859654
376	180.2790779
377	180.231462
378	180.1220814
379	180.0354208
380	179.8886966
381	179.5361846
382	179.4654192
383	179.3561974
384	179.2596078
385	179.1181354
386	179.0753479
387	178.9964212
388	178.6826243
389	178.5420303
390	178.4233216
391	178.322437
392	178.1697175
393	178.102491
394	178.020612
395	177.8939947
396	177.8655989
397	177.7290867
398	177.6487046
399	177.4020822
400	177.2968261
401	177.2594289
402	177.1106136
403	177.0597428
404	176.9573354
405	176.8139653
406	176.7576841
407	176.6798771
408	176.6359527
409	176.5364103
410	176.2340618
411	176.1238347
412	176.0844611
413	175.9396632
414	175.5668686
415	175.4865885
416	175.1736548
417	175.0839697
418	174.9954726
419	174.9534663
420	174.8385346
421	174.7224921
422	174.6554562
423	174.5129413
424	174.2365976
425	174.1693554
426	174.1312191
427	174.0421546
428	173.9577221
429	173.8869581
430	173.8290867
431	173.7518172
432	173.6737668
433	173.5768125
434	173.3658701
435	173.3138921
436	173.2831834
437	173.1719729
438	173.1117295
439	173.0139872
440	172.9431975
441	172.904228
442	172.8270384
443	172.7441898
444	172.6207621
445	172.5103278
446	172.4350901
447	172.3669414
448	172.3040791
449	172.1815163
450	171.9698053
451	171.9010455
452	171.8492384
453	171.6367098
454	171.5499189
455	171.2790971
456	171.1729091
457	171.1144944
458	170.8902623
459	170.6976771
460	170.6208083
461	170.5486804
462	170.5131448
463	170.4583526
464	170.3929544
465	170.299027
466	170.234894
467	170.222828
468	170.0809045
469	169.9804215
470	169.8711215
471	169.7837737
472	169.7128526
473	169.6257802
474	169.5025575
475	169.4433592
476	169.361293
477	169.3124144
478	169.1339409
479	169.1124786
480	168.9941665
481	168.8747654
482	168.7934416
483	168.7364843
484	168.6927955
485	168.615177
486	168.5679241
487	168.4801687
488	168.3100543
489	168.1651973
490	168.1213381
491	167.885147
492	167.8269201
493	167.7538783
494	167.5993796
495	167.5229438
496	167.2961273
497	167.2164032
498	167.1276835
499	167.0583992
500	167.0102451
501	166.9723296
502	166.8559429
503	166.7066184
504	166.5335836
505	166.4749211
506	166.4233252
507	166.3592292
508	166.3233834
509	166.2785764
510	166.2259869
511	166.1973646
512	166.1194534
513	166.0392944
514	165.9731585
515	165.9453937
516	165.8788864
517	165.7952283
518	165.7497683
519	165.7049171
520	165.5799989
521	165.429486
522	165.2731312
523	165.2429118
524	165.1006902
525	165.0440239
526	165.0057915
527	164.9774097
528	164.9277578
529	164.8458733
530	164.8162091
531	164.7417653
532	164.6570505
533	164.6011375
534	164.5636098
535	164.5307328
536	164.4008221
537	164.3374322
538	164.2548421
539	164.1393786
540	164.0314208
541	163.9754884
542	163.9255216
543	163.8724631
544	163.784847
545	163.7109528
546	163.6869866
547	163.6323798
548	163.536057
549	163.4691915
550	163.4352321
551	163.3462076
552	163.2603347
553	163.1487562
554	162.9950965
555	162.8702775
556	162.7339747
557	162.6726992
558	162.5976458
559	162.5387736
560	162.4806647
561	162.4190739
562	162.3466692
563	162.3127777
564	162.2745623
565	162.2404155
566	162.1939966
567	162.1435253
568	161.9776168
569	161.950936
570	161.8937776
571	161.8328544
572	161.7727092
573	161.615342
574	161.5667607
575	161.5066999
576	161.3802045
577	161.2264023
578	161.1612023
579	161.086886
580	161.061328
581	161.0391031
582	160.8703068
583	160.8008684
584	160.744069
585	160.6491834
586	160.5863131
587	160.5604126
588	160.4868125
589	160.4259198
590	160.3586892
591	160.2286201
592	160.1918477
593	160.1559901
594	160.1157455
595	160.0482799
596	159.903561
597	159.8727102
598	159.8375814
599	159.8165029
600	159.7781842
601	159.7044027
602	159.6173676
603	159.580293
604	159.5283765
605	159.4952189
606	159.3815915
607	159.2648784
608	159.2215007
609	159.1744838
610	159.1277847
611	159.0498734
612	158.9854807
613	158.8752649
614	158.8341782
615	158.7531212
616	158.6244628
617	158.55429
618	158.4887972
619	158.4559263
620	158.3085306
621	158.227219
622	158.2067163
623	158.1625946
624	158.1106286
625	158.0107764
626	157.9890861
627	157.9655001
628	157.9450144
629	157.9118344
630	157.8924144
631	157.8566891
632	157.8104809
633	157.786885
634	157.7049528
635	157.6182836
636	157.542595
637	157.5228491
638	157.4269763
639	157.4010071
640	157.3352569
641	157.2363535
642	157.0937662
643	157.0480522
644	156.831714
645	156.7469774
646	156.6927862
647	156.6730935
648	156.6550146
649	156.5680087
650	156.5393906
651	156.4732977
652	156.416831
653	156.3371258
654	156.2590148
655	156.2011712
656	156.1826916
657	156.132572
658	156.1067714
659	156.0344095
660	155.9698485
661	155.8854002
662	155.8305353
663	155.7538121
664	155.7171673
665	155.6691563
666	155.6011443
667	155.5673065
668	155.5110316
669	155.4833087
670	155.4208792
671	155.3622653
672	155.3187071
673	155.2446539
674	155.2163034
675	155.175461
676	155.1188122
677	155.0655954
678	155.0275423
679	154.9845685
680	154.966623
681	154.9494838
682	154.819247
683	154.7530432
684	154.7361305
685	154.7178549
686	154.6915946
687	154.638082
688	154.5403411
689	154.3865216
690	154.3286586
691	154.2623245
692	154.2008733
693	154.07365
694	154.0274227
695	153.985949
